Reg 0 - Cid 0: menor: 0, maior: 100, mediana: 48.00, media: 48.05 e DP: 29.81
Reg 0 - Cid 1: menor: 0, maior: 100, mediana: 50.00, media: 50.01 e DP: 28.81
Reg 0 - Cid 2: menor: 0, maior: 100, mediana: 48.00, media: 48.37 e DP: 28.19
Reg 0 - Cid 3: menor: 0, maior: 100, mediana: 50.00, media: 50.18 e DP: 29.06
Reg 0 - Cid 4: menor: 0, maior: 100, mediana: 50.00, media: 49.95 e DP: 28.35
Reg 0 - Cid 5: menor: 0, maior: 100, mediana: 51.00, media: 50.25 e DP: 29.04
Reg 0 - Cid 6: menor: 0, maior: 100, mediana: 51.50, media: 51.74 e DP: 29.08
Reg 0 - Cid 7: menor: 0, maior: 100, mediana: 49.00, media: 49.79 e DP: 29.08
Reg 0 - Cid 8: menor: 0, maior: 100, mediana: 48.00, media: 48.79 e DP: 28.56
Reg 0 - Cid 9: menor: 0, maior: 100, mediana: 50.00, media: 49.85 e DP: 28.99
Reg 0 - Cid 10: menor: 0, maior: 100, mediana: 50.00, media: 50.83 e DP: 28.92
Reg 0 - Cid 11: menor: 0, maior: 100, mediana: 50.00, media: 49.68 e DP: 29.23
Reg 0 - Cid 12: menor: 0, maior: 100, mediana: 51.00, media: 49.79 e DP: 29.13
Reg 0 - Cid 13: menor: 0, maior: 100, mediana: 51.00, media: 50.74 e DP: 30.18
Reg 0 - Cid 14: menor: 0, maior: 100, mediana: 46.50, media: 47.97 e DP: 28.49
Reg 0 - Cid 15: menor: 0, maior: 100, mediana: 49.00, media: 49.32 e DP: 29.73
Reg 0 - Cid 16: menor: 0, maior: 100, mediana: 52.00, media: 50.78 e DP: 28.89
Reg 0 - Cid 17: menor: 0, maior: 100, mediana: 54.00, media: 51.31 e DP: 29.96
Reg 0 - Cid 18: menor: 0, maior: 100, mediana: 51.00, media: 50.55 e DP: 28.97
Reg 0 - Cid 19: menor: 0, maior: 100, mediana: 48.00, media: 48.97 e DP: 29.05
Reg 0 - Cid 20: menor: 0, maior: 100, mediana: 50.00, media: 50.91 e DP: 29.58
Reg 0 - Cid 21: menor: 0, maior: 100, mediana: 52.00, media: 51.53 e DP: 28.52
Reg 0 - Cid 22: menor: 0, maior: 100, mediana: 46.00, media: 48.46 e DP: 29.26
Reg 0 - Cid 23: menor: 0, maior: 100, mediana: 51.50, media: 51.52 e DP: 29.28
Reg 0 - Cid 24: menor: 0, maior: 100, mediana: 49.00, media: 49.91 e DP: 30.36
Reg 0 - Cid 25: menor: 0, maior: 100, mediana: 49.00, media: 50.30 e DP: 28.78
Reg 0 - Cid 26: menor: 0, maior: 100, mediana: 49.00, media: 49.73 e DP: 28.90
Reg 0 - Cid 27: menor: 0, maior: 100, mediana: 50.00, media: 50.12 e DP: 29.36
Reg 0 - Cid 28: menor: 0, maior: 100, mediana: 53.00, media: 52.29 e DP: 29.24
Reg 0 - Cid 29: menor: 0, maior: 100, mediana: 51.00, media: 50.96 e DP: 29.64
Reg 0 - Cid 30: menor: 0, maior: 100, mediana: 48.00, media: 49.51 e DP: 29.06
Reg 0 - Cid 31: menor: 0, maior: 100, mediana: 53.00, media: 51.67 e DP: 28.59
Reg 0 - Cid 32: menor: 0, maior: 100, mediana: 50.00, media: 49.97 e DP: 28.71
Reg 0 - Cid 33: menor: 0, maior: 100, mediana: 52.00, media: 50.70 e DP: 28.94
Reg 0 - Cid 34: menor: 0, maior: 100, mediana: 51.00, media: 51.08 e DP: 29.10
Reg 0 - Cid 35: menor: 0, maior: 100, mediana: 49.00, media: 50.05 e DP: 30.04
Reg 0 - Cid 36: menor: 0, maior: 100, mediana: 51.00, media: 49.98 e DP: 29.14
Reg 0 - Cid 37: menor: 0, maior: 100, mediana: 49.00, media: 49.42 e DP: 29.25
Reg 0 - Cid 38: menor: 0, maior: 100, mediana: 52.00, media: 50.72 e DP: 29.53
Reg 0 - Cid 39: menor: 0, maior: 100, mediana: 51.00, media: 50.23 e DP: 29.80
Reg 0 - Cid 40: menor: 0, maior: 100, mediana: 50.00, media: 50.33 e DP: 28.95
Reg 0 - Cid 41: menor: 0, maior: 100, mediana: 51.00, media: 50.32 e DP: 29.51
Reg 0 - Cid 42: menor: 0, maior: 100, mediana: 49.00, media: 49.12 e DP: 29.10
Reg 0 - Cid 43: menor: 0, maior: 100, mediana: 49.00, media: 49.07 e DP: 29.22
Reg 0 - Cid 44: menor: 0, maior: 100, mediana: 48.00, media: 49.43 e DP: 29.18
Reg 0 - Cid 45: menor: 0, maior: 100, mediana: 50.00, media: 49.57 e DP: 28.67
Reg 0 - Cid 46: menor: 0, maior: 100, mediana: 51.00, media: 50.52 e DP: 29.33
Reg 0 - Cid 47: menor: 0, maior: 100, mediana: 49.00, media: 49.87 e DP: 28.98
Reg 0 - Cid 48: menor: 0, maior: 100, mediana: 47.00, media: 48.10 e DP: 29.13
Reg 0 - Cid 49: menor: 0, maior: 100, mediana: 51.00, media: 49.72 e DP: 29.67
Reg 0 - Cid 50: menor: 0, maior: 100, mediana: 51.00, media: 49.78 e DP: 29.49
Reg 0 - Cid 51: menor: 0, maior: 100, mediana: 46.00, media: 48.39 e DP: 28.88
Reg 0 - Cid 52: menor: 0, maior: 100, mediana: 50.00, media: 50.86 e DP: 29.08
Reg 0 - Cid 53: menor: 0, maior: 100, mediana: 51.00, media: 50.71 e DP: 28.97
Reg 0 - Cid 54: menor: 0, maior: 100, mediana: 51.00, media: 50.34 e DP: 29.49
Reg 0 - Cid 55: menor: 0, maior: 100, mediana: 51.00, media: 50.31 e DP: 28.91
Reg 0 - Cid 56: menor: 0, maior: 100, mediana: 49.00, media: 49.98 e DP: 29.54
Reg 0 - Cid 57: menor: 0, maior: 100, mediana: 52.00, media: 50.60 e DP: 28.97
Reg 0 - Cid 58: menor: 0, maior: 100, mediana: 51.00, media: 50.31 e DP: 29.27
Reg 0 - Cid 59: menor: 0, maior: 100, mediana: 50.00, media: 50.58 e DP: 30.29
Reg 0 - Cid 60: menor: 0, maior: 100, mediana: 51.00, media: 50.52 e DP: 28.75
Reg 0 - Cid 61: menor: 0, maior: 100, mediana: 51.00, media: 50.89 e DP: 29.45
Reg 0 - Cid 62: menor: 0, maior: 100, mediana: 45.00, media: 48.04 e DP: 28.87
Reg 0 - Cid 63: menor: 0, maior: 100, mediana: 51.00, media: 50.92 e DP: 29.21
Reg 0 - Cid 64: menor: 0, maior: 100, mediana: 49.00, media: 49.32 e DP: 29.15
Reg 0 - Cid 65: menor: 0, maior: 100, mediana: 51.00, media: 50.17 e DP: 29.33
Reg 0 - Cid 66: menor: 0, maior: 100, mediana: 51.00, media: 49.99 e DP: 29.19
Reg 0 - Cid 67: menor: 0, maior: 100, mediana: 52.00, media: 51.27 e DP: 29.31
Reg 0 - Cid 68: menor: 0, maior: 100, mediana: 48.50, media: 48.81 e DP: 29.26
Reg 0 - Cid 69: menor: 0, maior: 100, mediana: 51.50, media: 50.52 e DP: 28.71
Reg 0 - Cid 70: menor: 0, maior: 100, mediana: 49.00, media: 50.10 e DP: 28.94
Reg 0 - Cid 71: menor: 0, maior: 100, mediana: 49.00, media: 48.59 e DP: 28.94
Reg 0 - Cid 72: menor: 0, maior: 100, mediana: 50.00, media: 49.83 e DP: 29.43
Reg 0 - Cid 73: menor: 0, maior: 100, mediana: 48.50, media: 49.42 e DP: 28.98
Reg 0 - Cid 74: menor: 0, maior: 100, mediana: 50.00, media: 50.06 e DP: 28.63
Reg 0 - Cid 75: menor: 0, maior: 100, mediana: 49.50, media: 50.65 e DP: 28.23
Reg 0 - Cid 76: menor: 0, maior: 100, mediana: 47.50, media: 48.03 e DP: 29.01
Reg 0 - Cid 77: menor: 0, maior: 100, mediana: 52.00, media: 50.95 e DP: 29.18
Reg 0 - Cid 78: menor: 0, maior: 100, mediana: 49.00, media: 50.13 e DP: 29.07
Reg 0 - Cid 79: menor: 0, maior: 100, mediana: 50.00, media: 49.55 e DP: 28.62
Reg 0 - Cid 80: menor: 0, maior: 100, mediana: 48.50, media: 49.40 e DP: 29.22
Reg 0 - Cid 81: menor: 0, maior: 100, mediana: 46.50, media: 48.04 e DP: 29.30
Reg 0 - Cid 82: menor: 0, maior: 100, mediana: 49.00, media: 50.07 e DP: 29.18
Reg 0 - Cid 83: menor: 0, maior: 100, mediana: 50.00, media: 49.72 e DP: 29.00
Reg 0 - Cid 84: menor: 0, maior: 100, mediana: 50.00, media: 49.61 e DP: 29.75
